time,rr_interval
1710725844822615000,1004
1710725845826615000,1004
1710725847821053000,899
1710725848840344000,768
1710725849815896000,1075
1710725849651233000,1169
1710725850820233000,1169
1710725851825767000,812
1710725852984570000,836
1710725853820570000,836
1710725854826252000,1084
1710725855825724000,936
1710725856819758000,760
1710725857825664000,840
1710725858815750000,1139
1710725859820358000,1081
1710725860825584000,950
1710725861816047000,798
1710725862820667000,736
1710725863826716000,807
1710725864814995000,1190
1710725865825446000,1128
1710725865760250000,1065
1710725866825250000,1065
1710725868819701000,752
1710725869825891000,831
1710725869675478000,1141
1710725870816478000,1141
1710725871820394000,894
1710725872825331000,760
1710725873816559000,852
1710725874970720000,1158
1710725875960419000,1117
1710725876951302000,965
1710725877941291000,821
1710725878931170000,827
1710725879921299000,1069
1710725880911675000,1108
1710725881900748000,974
1710725882891257000,784
1710725883880573000,770
1710725884871213000,1143
1710725885862460000,1149
