time,rr
1713642990794195000,14809
1713642991355324379,13716
1713642991916453758,5444
1713642992477583137,2003
1713642993038712516,766
1713642993599841895,411
1713642994160971278,225
1713642994722100657,122
1713642995283214779,96
1713642995844349245,94
1713642996405458276,-145
1713642996966587655,103
1713642997527717038,324
1713642998088846417,28
1713642998649975796,-14
1713642999211105175,47
1713642999772234554,44
1713643000333363933,96
1713643000894493316,35
1713643001455622695,16
1713643002016752074,30
1713643002577881453,101
1713643003139010832,239
1713643003700140211,84
1713643004261274681,35
1713643004822409147,152
1713643005383543613,68
1713643005944657731,155
1713643006505812545,51
1713643007066947011,32
1713643007628050959,72
1713643008189185425,25
1713643008750319891,188
1713643009311434009,32
1713643009872563388,-2
1713643010433692767,54
1713643010994822150,70
1713643011555951529,68
1713643012117080908,37
1713643012678210287,-9
1713643013239339666,98
1713643013800469045,58
1713643014361598428,293
1713643014922737981,101
1713643015483872447,37
1713643016045006913,39
1713643016606141379,79
1713643017167245323,-18
1713643017728379793,16
1713643018289514259,56
1713643018850648725,239
1713643019411783191,82
1713643019972892222,25
1713643020534021601,42
1713643021095156071,56
1713643021656290537,272
1713643022217409742,42
1713643022778559469,37
1713643023339668500,-94
1713643023900797879,63
1713643024461932349,293
1713643025023066815,39
1713643025584216538,32
1713643026145345917,28
1713643026706470213,96
1713643027267604679,49
1713643027828734058,411
1713643028389863437,39
1713643028950992816,270
1713643029512122195,65
1713643030073251574,49
1713643030634380953,249
1713643031195510336,94
1713643031756649889,54
1713643032317784355,138
1713643032878918821,94
1713643033440058370,-2
1713643034001187753,-2
1713643034562317132,79
1713643035123446511,-28
1713643035684575890,-162
1713643036245705269,65
1713643036806834648,268
1713643037367964027,77
1713643037929098497,39
1713643038490222789,-16
1713643039051367429,32
1713643039612501895,221
1713643040173641444,-2
1713643040734770823,61
1713643041295900206,157
1713643041857039759,65
1713643042418174225,37
1713643042979318861,77
1713643043540448240,65
1713643044101577619,7
1713643044662707002,162
1713643045223846555,94
1713643045784981021,-21
1713643046346115487,61
1713643046907255036,58
1713643047468384415,0
1713643048029518885,21
1713643048590653351,293
1713643049151787817,14
1713643049712932453,32
1713643050274056749,56
1713643050835191215,84
1713643051396320594,-23
1713643051957449973,279
1713643052518564095,51
1713643053079698561,-11
1713643053640838110,-79
1713643054201967489,58
1713643054763096872,204
1713643055324226251,96
1713643055885355630,-49
1713643056446505357,23
1713643057007639823,54
1713643057568774285,7
1713643058129903668,4
1713643058691033047,246
1713643059252162426,28
1713643059813291805,28
1713643060374421184,129
1713643060935550563,21
1713643061496679946,89
1713643062057809325,225
1713643062618938704,108
1713643063180057913,-56
1713643063741197462,1103
1713643064302326841,35
1713643064863456224,199
1713643065424585603,32
1713643065985714982,-16
1713643066546844361,25
1713643067107973740,75
1713643067669103119,286
1713643068230232502,39
1713643068791361881,16
1713643069352491260,35
1713643069913620639,70
1713643070474750018,232
1713643071035879397,37
1713643071597008780,14
1713643072158138159,-4
1713643072719267538,42
1713643073280396917,326
1713643073841526296,-18
1713643074402655675,32
