time,ecg
1713644537917128000,"[12634, 13137, 13617, 14059, 14461, 14852, 15226, 15567, 15877, 16162, 16432, 16698, 16954, 17175, 17363, 17545, 17709, 17864, 18027, 18158, 18255, 18347, 18429, 18502, 18575, 18662, 18723, 18699, 18683, 18730, 18753, 18732, 18716, 18697, 18655, 18648, 18685, 18622, 18462, 18375, 18325, 18243, 18170, 18088, 17996, 17909, 17803, 17712, 17622, 17486, 17413, 17610, 18041, 18304, 17789, 16710, 16336, 16630, 16474, 16112, 16065, 15990, 15797, 15682, 15569, 15426, 15296, 15164, 15035, 14906, 14765, 14638, 14506]"
1713644538478257379,"[14360, 14240, 14118, 13986, 13876, 13760, 13633, 13535, 13426, 13316, 13215, 13043, 12850, 12714, 12530, 12295, 12112, 11935, 11710, 11528, 11397, 11242, 11098, 10971, 10842, 10726, 10602, 10472, 10369, 10256, 10091, 9943, 9847, 9734, 9602, 9489, 9386, 9275, 9162, 9050, 8932, 8819, 8716, 8617, 8509, 8393, 8278, 8175, 8095, 7994, 7855, 7740, 7657, 7558, 7441, 7344, 7255, 7156, 7053, 6954, 6862, 6768, 6660, 6564, 6477, 6387, 6307, 6241, 6161, 6060, 5973, 5905, 5832]"
1713644539039386758,"[5755, 5679, 5590, 5510, 5449, 5381, 5310, 5242, 5160, 5073, 5009, 4953, 4887, 4816, 4731, 4654, 4602, 4553, 4503, 4456, 4390, 4318, 4231, 4139, 4085, 4035, 3965, 3915, 3882, 3835, 3786, 3727, 3659, 3685, 3984, 4477, 4656, 4038, 3146, 3064, 3384, 3243, 3057, 3118, 3095, 3008, 3005, 2996, 2942, 2899, 2871, 2845, 2822, 2796, 2770, 2732, 2702, 2685, 2676, 2667, 2655, 2645, 2648, 2657, 2655, 2645, 2631, 2598, 2547, 2476, 2375, 2264, 2161]"
1713644539600536485,"[2053, 1973, 1926, 1879, 1841, 1820, 1782, 1754, 1754, 1745, 1709, 1662, 1634, 1622, 1596, 1556, 1538, 1526, 1509, 1500, 1493, 1484, 1467, 1448, 1429, 1418, 1404, 1389, 1368, 1349, 1335, 1312, 1284, 1260, 1239, 1218, 1206, 1194, 1173, 1150, 1131, 1105, 1081, 1072, 1067, 1055, 1039, 1025, 1011, 1001, 999, 992, 976, 959, 947, 950, 964, 966, 947, 917, 889, 874, 870, 853, 832, 825, 823, 818, 811, 801, 785, 794, 1011]"
1713644540161676034,"[1521, 1952, 1665, 747, 350, 712, 787, 547, 555, 623, 578, 573, 609, 604, 595, 609, 620, 618, 623, 630, 630, 639, 642, 637, 653, 682, 705, 738, 773, 801, 823, 834, 834, 825, 785, 707, 620, 540, 472, 428, 397, 369, 355, 352, 352, 357, 357, 355, 357, 357, 357, 364, 366, 364, 357, 352, 359, 366, 366, 364, 364, 364, 362, 369, 369, 362, 355, 352, 352, 357, 355, 348, 331]"
1713644540722835935,"[312, 305, 305, 296, 282, 263, 246, 244, 244, 239, 225, 214, 216, 214, 202, 202, 206, 202, 206, 216, 221, 221, 218, 218, 223, 232, 237, 237, 232, 230, 237, 244, 249, 249, 244, 242, 249, 254, 254, 254, 246, 242, 249, 256, 256, 246, 228, 228, 237, 242, 258, 277, 270, 254, 246, 239, 232, 230, 225, 225, 235, 239, 242, 237, 209, 197, 418, 961, 1444, 1208, 263, -195, 169]"
1713644541283970401,"[265, 47, 94, 171, 105, 101, 150, 148, 124, 127, 141, 159, 174, 185, 190, 197, 216, 239, 261, 282, 303, 326, 362, 399, 428, 446, 451, 444, 428, 388, 324, 251, 183, 129, 96, 79, 58, 37, 30, 39, 49, 58, 68, 72, 72, 79, 89, 98, 105, 108, 108, 112, 119, 127, 129, 127, 122, 108, 89, 94, 105, 101, 98, 105, 110, 115, 122, 119, 105, 84, 77, 89, 94]"
1713644541845125211,"[89, 84, 77, 75, 72, 65, 63, 68, 68, 70, 75, 63, 44, 51, 61, 63, 70, 75, 75, 79, 84, 89, 91, 94, 96, 101, 103, 98, 89, 87, 96, 103, 105, 115, 119, 122, 141, 164, 166, 155, 143, 129, 129, 136, 136, 136, 138, 141, 150, 145, 105, 129, 430, 983, 1331, 910, -4, -221, 164, 131, -58, 37, 91, 35, 56, 94, 89, 98, 115, 117, 129, 148, 159]"
1713644542406269851,"[169, 176, 188, 209, 230, 254, 282, 310, 331, 341, 366, 395, 397, 390, 364, 310, 244, 176, 108, 44, 4, -11, -9, -2, -7, -9, 2, 14, 18, 25, 35, 39, 39, 44, 58, 68, 70, 68, 68, 72, 82, 91, 87, 54, 30, 47, 63, 61, 63, 72, 72, 58, 49, 54, 56, 49, 49, 44, 39, 47, 47, 30, 25, 35, 44, 51, 54, 49, 49, 61, 82, 105, 112]"
1713644542967414487,"[103, 89, 77, 75, 82, 70, 35, 35, 58, 56, 47, 47, 37, 84, 388, 928, 1232, 764, -110, -268, 136, 119, -49, 39, 87, 37, 63, 98, 94, 94, 105, 115, 127, 143, 159, 159, 145, 155, 190, 216, 242, 265, 284, 317, 364, 397, 409, 404, 381, 333, 270, 197, 127, 58, 16, -2, -9, -14, -18, -21, -11, -2, 4, 11, 18, 21, 25, 39, 51, 58, 61, 63, 68]"
