time,ecg
1713891072406420000,"[18459, 18607, 19152, 19483, 19497, 19497, 19497, 19497, 19497, 19497, 19497, 19497, 19497, 19497, 19497, 19497, 19497, 19497, 19497, 19497, 19497, 19497, 19497, 19497, 19497, 19497, 19497, 19497, 19497, 19497, 19497, 19497, 19497, 19497, 19497, 19497, 19497, 19497, 19497, 19497, 19497, 19497, 19497, 19497, 19497, 19497, 19497, 19497, 19447, 19326, 19202, 19026, 18857, 18702, 18547, 18397, 18262, 18109, 17926, 17764, 17645, 17481, 17271, 17117, 16962, 16772, 16612, 16469, 16329, 16177, 16003, 15843, 15698]"
1713891072967457825,"[15534, 15379, 15203, 14991, 14827, 14701, 14551, 14429, 14284, 14034, 13839, 13718, 13549, 13501, 13732, 13994, 13822, 13082, 12468, 12485, 12463, 12130, 11978, 11956, 11804, 11606, 11459, 11328, 11199, 11085, 10971, 10856, 10721, 10578, 10468, 10366, 10259, 10154, 10033, 9919, 9833, 9742, 9647, 9552, 9431, 9307, 9200, 9066, 8914, 8764, 8597, 8443, 8312, 8174, 8059, 7967, 7845, 7733, 7655, 7571, 7483, 7395, 7291, 7183, 7081, 6991, 6912, 6826, 6724, 6634, 6546, 6457, 6374]"
1713891073528526168,"[6277, 6177, 6098, 6019, 5943, 5869, 5784, 5700, 5629, 5558, 5484, 5415, 5351, 5296, 5239, 5165, 5074, 4951, 4834, 4782, 4736, 4672, 4622, 4572, 4503, 4437, 4363, 4282, 4367, 4805, 5336, 5236, 4356, 3753, 3918, 3977, 3746, 3715, 3749, 3665, 3615, 3603, 3558, 3499, 3451, 3425, 3396, 3349, 3313, 3284, 3253, 3237, 3213, 3182, 3165, 3156, 3144, 3132, 3106, 3068, 3034, 2992, 2923, 2835, 2744, 2658, 2592, 2539, 2494, 2456, 2425, 2399, 2368]"
1713891074089563993,"[2335, 2311, 2273, 2230, 2206, 2187, 2151, 2132, 2123, 2092, 2044, 2011, 1992, 1961, 1925, 1890, 1868, 1856, 1832, 1804, 1780, 1749, 1721, 1711, 1692, 1661, 1642, 1625, 1604, 1597, 1594, 1561, 1513, 1478, 1449, 1418, 1399, 1382, 1363, 1354, 1347, 1328, 1297, 1247, 1247, 1549, 2166, 2520, 1999, 1121, 978, 1237, 1140, 1023, 1106, 1104, 1056, 1083, 1099, 1078, 1073, 1071, 1064, 1073, 1080, 1075, 1054, 1044, 1064, 1080, 1085, 1090, 1099]"
1713891074650632336,"[1116, 1133, 1135, 1104, 1064, 1033, 968, 895, 856, 821, 771, 745, 737, 733, 733, 737, 735, 723, 721, 726, 728, 723, 716, 706, 699, 690, 680, 685, 687, 676, 668, 668, 666, 666, 659, 645, 642, 647, 645, 642, 635, 621, 616, 618, 618, 614, 599, 587, 587, 604, 628, 633, 609, 571, 545, 540, 542, 523, 495, 478, 468, 461, 449, 423, 373, 437, 854, 1480, 1640, 911, 147, 211, 426]"
1713891075211670161,"[276, 238, 335, 309, 280, 326, 342, 335, 340, 328, 316, 338, 357, 364, 373, 378, 378, 392, 423, 449, 473, 495, 511, 526, 540, 535, 507, 457, 402, 361, 335, 318, 304, 288, 280, 292, 302, 302, 299, 304, 311, 314, 316, 326, 326, 321, 318, 318, 314, 297, 295, 299, 297, 297, 304, 307, 299, 299, 299, 304, 304, 285, 259, 261, 268, 264, 273, 278, 268, 271, 278, 276, 264]"
1713891075772738508,"[254, 264, 292, 302, 290, 273, 249, 226, 207, 195, 192, 185, 169, 164, 173, 154, 111, 173, 540, 1137, 1368, 756, 2, 14, 242, 114, 52, 140, 133, 109, 145, 161, 157, 169, 185, 190, 197, 211, 216, 214, 216, 233, 252, 273, 299, 326, 354, 373, 385, 402, 404, 376, 333, 278, 211, 159, 135, 128, 121, 119, 126, 133, 140, 145, 147, 149, 159, 169, 169, 169, 173, 169, 159]"
1713891076333776333,"[164, 171, 169, 169, 173, 176, 180, 183, 176, 154, 142, 154, 164, 159, 159, 161, 166, 176, 188, 185, 173, 176, 183, 178, 169, 169, 161, 154, 169, 188, 188, 171, 152, 123, 102, 109, 119, 111, 109, 111, 116, 126, 128, 102, 61, 211, 728, 1273, 1140, 297, -185, 45, 126, -40, 2, 78, 28, 26, 80, 92, 88, 102, 104, 97, 107, 133, 152, 157, 159, 180, 211, 238, 264]"
1713891076894844676,"[288, 299, 323, 347, 352, 340, 299, 238, 192, 164, 130, 109, 71, 33, 45, 66, 73, 85, 85, 73, 78, 85, 73, 71, 85, 90, 97, 107, 109, 114, 116, 116, 123, 130, 121, 133, 145, 135, 133, 142, 126, 92, 78, 76, 76, 88, 102, 116, 128, 126, 99, 69, 54, 47, 45, 49, 49, 57, 71, 73, 57, 9, 16, 318, 954, 1366, 897, 7, -157, 152, 85, -59, 35]"
1713891077455882501,"[73, 28, 59, 90, 76, 78, 102, 114, 123, 123, 114, 121, 135, 140, 161, 195, 218, 245, 280, 311, 333, 338, 333, 302, 235, 169, 116, 71, 49, 42, 33, 38, 35, 11, 16, 40, 45, 57, 71, 69, 76, 99, 104, 99, 104, 109, 121, 133, 126, 128, 140, 135, 130, 140, 145, 145, 149, 147, 145, 149, 140, 126, 123, 128, 128, 126, 121, 130, 145, 126, 95, 83, 80]"
1713891078016950844,"[73, 73, 73, 69, 61, 57, 49, 11, -45, 38, 504, 1216, 1416, 630, -183, -90, 133, -38, -76, 26, 9, 2, 49, 59, 52, 52, 52, 69, 92, 90, 95, 123, 152, 164, 178, 195, 216, 249, 283, 307, 321, 321, 307, 276, 221, 169, 121, 78, 57, 61, 69, 71, 76, 73, 73, 88, 97, 92, 97, 104, 114, 119, 116, 121, 133, 130, 126, 119, 109, 111, 123, 114, 109]"
1713891078577988669,"[123, 119, 102, 92, 71, 54, 66, 76, 64, 54, 49, 42, 47, 54, 59, 64, 49, 26, 19, 30, 33, 28, 40, 76, 107, 109, 92, 59, 38, 52, 71, 73, 76, 80, 78, 85, 80, 30, 92, 540, 1259, 1504, 740, -119, -61, 169, -11, -54, 69, 52, 26, 61, 61, 59, 90, 102, 97, 107, 109, 104, 116, 140, 154, 164, 190, 221, 254, 290, 316, 323, 328, 330, 307]"
1713891079139057016,"[261, 204, 145, 109, 92, 80, 78, 64, 40, 30, 23, 21, 35, 40, 33, 45, 66, 66, 45, 33, 42, 52, 57, 61, 61, 52, 40, 40, 40, 40, 42, 42, 45, 52, 57, 59, 57, 59, 61, 64, 73, 83, 78, 78, 83, 88, 92, 104, 97, 88, 85, 83, 92, 97, 90, 90, 97, 97, 116, 142, 154, 166, 152, 116, 107, 123, 128, 130, 133, 130, 135, 138, 121]"
1713891079700105015,"[85, 116, 414, 975, 1290, 783, -14, -95, 142, 11, -102, -9, 2, -35, 0, 35, 26, 26, 49, 64, 61, 80, 109, 116, 109, 126, 166, 183, 195, 230, 266, 283, 292, 302, 307, 290, 252, 190, 133, 92, 42, 4, 0, 7, -2, -21, -21, -11, -16, -23, -19, -16, -14, -4, 4, 0, 0, 7, 9, 14, 28, 30, 21, 21, 35, 42, 52, 38, -11, -16, 23, 30, 16]"
1713891080261163184,"[16, 11, 9, 30, 47, 52, 49, 28, 11, 30, 47, 47, 57, 57, 47, 66, 99, 121, 128, 107, 78, 83, 104, 104, 97, 97, 97, 97, 109, 107, 54, 71, 414, 1023, 1311, 756, -23, -78, 149, 42, -23, 76, 69, 23, 59, 90, 85, 88, 97, 107, 121, 135, 149, 161, 166, 169, 190, 223, 257, 288, 307, 309, 307, 316, 297, 249, 199, 130, 64, 33, 7, -33, -61]"
1713891080822231527,"[-45, -23, -42, -54, -45, -49, -47, -30, -7, 16, -2, -35, -40, -23, 30, 71, 45, 26, 40, 45, 38, 45, 78, 76, 42, 52, 73, 66, 66, 80, 78, 73, 90, 102, 92, 85, 92, 102, 104, 104, 107, 107, 109, 114, 116, 116, 114, 111, 114, 128, 157, 176, 166, 140, 97, 61, 61, 69, 61, 52, 57, 85, 99, 54, -4, 76, 497, 1149, 1333, 618, -109, -7, 209]"
1713891081383269352,"[28, -35, 69, 49, -7, 45, 109, 76, 30, 61, 85, 73, 88, 119, 114, 104, 128, 152, 159, 171, 192, 221, 242, 252, 261, 254, 216, 171, 111, 49, 14, -4, -26, -30, -23, -23, -21, -11, -2, 2, 2, 7, 19, 21, 23, 35, 30, 0, -2, 19, 23, 23, 35, 40, 38, 49, 61, 64, 64, 64, 64, 61, 71, 83, 80, 80, 88, 83, 85, 97, 97, 90, 90]"
1713891081944337695,"[92, 95, 102, 104, 97, 90, 80, 83, 95, 95, 80, 61, 49, 64, 76, 69, 59, 76, 111, 133, 133, 114, 90, 88, 102, 102, 102, 109, 99, 90, 104, 88, 38, 149, 595, 1180, 1280, 530, -190, -104, 59, -111, -126, -26, -52, -80, -71, -52, -16, -7, -4, 4, -2, 9, 38, 52, 73, 95, 104, 130, 169, 202, 240, 259, 249, 249, 271, 276, 249, 190, 111, 64, 54]"
1713891082505406042,"[45, 26, 0, -19, -23, -26, -19, -2, -23, -61, -57, -28, -21, -28, -23, -14, -9, -11, 4, 14, 2, 0, 7, 19, 33, 35, 35, 42, 40, 49, 61, 47, 26, 19, 23, 35, 49, 49, 45, 47, 52, 54, 73, 107, 116, 102, 97, 95, 88, 80, 76, 76, 88, 99, 102, 92, 64, 11, 11, 318, 959, 1366, 885, -28, -233, 42, -28, -154, -64, -33, -64, -33, -14]"
1713891083066443867,"[-28, -19, 11, 23, 28, 45, 57, 61, 73, 88, 107, 123, 123, 140, 178, 214, 240, 252, 242, 214, 166, 111, 64, 23, -21, -66, -73, -52, -45, -52, -40, -19, -16, -4, 9, 4, 9, 30, 35, 35, 47, 57, 69, 78, 64, 59, 80, 88, 85, 90, 88, 80, 73, 66, 76, 83, 83, 97, 95, 69, 83, 116, 114, 104, 111, 116, 116, 116, 121, 130, 130, 119, 121]"
1713891083627512210,"[130, 126, 128, 147, 164, 173, 176, 159, 126, 97, 80, 69, 59, 54, 61, 66, 47, 0, -38, 154, 704, 1194, 961, 133, -247, -21, 0, -147, -83, -26, -66, -47, -14, -23, -14, 19, 28, 26, 38, 54, 69, 90, 92, 80, 107, 147, 164, 183, 226, 247, 249, 259, 257, 235, 195, 135, 83, 64, 49, 30, 28, 26, 23, 40, 49, 49, 57, 64, 69, 76, 80, 88, 99]"
1713891084188550035,"[97, 85, 78, 85, 102, 95, 69, 61, 73, 80, 69, 38, 30, 49, 54, 54, 71, 78, 66, 76, 92, 92, 92, 97, 88, 88, 104, 109, 107, 111, 109, 107, 114, 111, 102, 97, 92, 90, 92, 109, 119, 99, 88, 114, 145, 164, 159, 128, 102, 90, 95, 104, 107, 102, 90, 80, 85, 78, 35, 42, 297, 821, 1175, 825, 80, -149, 49, 23, -78, -16, 2, -33, -7]"
