time,rr
1714325422678457000,13598
1714325423239566035,14544
1714325423800685240,5964
1714325424361814619,2199
1714325424922938915,877
1714325425484042859,420
1714325426045172242,192
1714325426606281277,117
1714325427167400482,124
1714325427728529861,87
1714325428289659240,63
1714325428850788619,115
1714325429411918002,47
1714325429973027037,105
1714325430534146242,11
1714325431095275621,157
1714325431656405000,143
1714325432217534383,77
1714325432778633244,199
1714325433339762623,1060
1714325433900876745,28
1714325434461990863,16
1714325435023120242,70
1714325435584219103,54
1714325436145348486,37
1714325436706447347,70
1714325437267576726,223
1714325437828675587,127
1714325438389799883,37
1714325438950903827,-32
1714325439512007779,11
1714325440073132071,47
1714325440634230932,-21
1714325441195350141,1133
1714325441756459172,28
1714325442317588555,2
1714325442878687416,1220
1714325443439796451,16
1714325444000915656,87
1714325444562014517,87
1714325445123113378,23
1714325445684242757,134
1714325446245341622,49
1714325446806450657,-47
1714325447367569862,58
1714325447928668723,2
1714325448489798102,58
1714325449050896963,82
1714325449612026346,-91
1714325450173125207,0
1714325450734254586,16
1714325451295353447,16
1714325451856482826,127
1714325452417581687,9
1714325452978711070,124
1714325453539809931,75
1714325454100924053,4
1714325454662038171,157
1714325455223167550,54
1714325455784266411,176
1714325456345395794,127
1714325456906494655,23
1714325457467624034,183
1714325458028743243,110
1714325458589852274,-16
1714325459150981657,91
1714325459712080518,70
1714325460273209897,-82
1714325460834308758,171
1714325461395438137,61
1714325461956536998,119
1714325462517666381,119
1714325463078765242,0
1714325463639894621,-9
1714325464200993482,79
1714325464762122861,192
1714325465323221722,91
1714325465884351101,68
1714325466445455053,39
1714325467006579345,72
1714325467567693467,21
1714325468128807585,91
1714325468689931881,70
1714325469251035825,77
1714325469812165208,261
1714325470373264069,44
1714325470934362930,14
1714325471495492309,176
1714325472056591170,47
1714325472617720549,47
1714325473178819414,249
1714325473739948793,75
1714325474301047654,14
1714325474862166863,77
1714325475423275894,21
1714325475984405277,-14
1714325476545504138,82
1714325477106633517,-25
1714325477667732378,39
1714325478228851587,63
1714325478789960618,89
1714325479351059479,89
1714325479912188862,44
1714325480473287723,199
1714325481034417102,42
1714325481595515963,4
1714325482156645342,152
1714325482717744203,30
1714325483278848155,37
1714325483839972447,82
1714325484401086569,65
1714325484962200687,2
1714325485523299548,37
1714325486084428931,166
1714325486645527792,-310
1714325487206636827,84
1714325487767756032,112
1714325488328854893,82
1714325488889979189,11
1714325489451083133,228
1714325490012212516,891
1714325490573311377,-28
1714325491134410238,44
1714325491695529447,54
1714325492256638478,16
1714325492817767861,-16
1714325493378866722,42
1714325493939996101,21
1714325494501094962,51
1714325495062224341,-39
1714325495623323202,-14
1714325496184452581,0
1714325496745581964,21
1714325497306680825,44
1714325497867794947,4
1714325498428909065,119
1714325498990033361,14
1714325499551137305,235
1714325500112266688,68
1714325500673365549,-4
1714325501234479671,68
1714325501795593789,87
1714325502356692650,-7
1714325502917822029,190
1714325503478925981,65
1714325504040050273,44
1714325504601149134,72
1714325505162268343,47
1714325505723377374,-37
1714325506284506753,32
1714325506845605618,56
1714325507406734997,-28
1714325507967849119,-232
1714325508528963237,30
1714325509090092616,-4
1714325509651221995,87
1714325510212325947,44
1714325510773450239,25
1714325511334564361,54
1714325511895678479,-37
1714325512456807858,32
1714325513017937241,54
1714325513579036102,96
1714325514140165481,-108
1714325514701279603,56
1714325515262393721,2
1714325515823523100,1178
1714325516384621961,18
1714325516945751344,228
1714325517506850205,159
1714325518067979584,-7
1714325518629078445,129
1714325519190207824,84
1714325519751306685,-18
1714325520312436068,136
1714325520873545103,28
1714325521434664308,91
1714325521995793687,87
1714325522556892548,0
1714325523118021927,-89
1714325523679125879,70
1714325524240250171,-84
1714325524801379550,571
1714325525362478411,47
1714325525923607790,129
1714325526484706651,56
1714325527045836034,-16
1714325527606965413,225
1714325528168079535,89
1714325528729193653,-7
1714325529290323032,58
1714325529851452415,77
1714325530412551276,2
1714325530973680655,68
1714325531534794777,23
1714325532095908895,68
1714325532657038274,87
1714325533218137135,-75
1714325533779266518,87
1714325534340395897,70
1714325534901494758,91
1714325535462624137,115
1714325536023753516,2
1714325536584882899,-63
1714325537145981760,54
1714325537707111139,98
1714325538268240518,877
1714325538829369897,61
1714325539390468758,141
1714325539951598137,145
1714325540512702089,51
1714325541073826381,188
1714325541634955760,35
1714325542196085139,4
1714325542757184000,148
1714325543318313379,82
1714325543879442762,-30
1714325544440551797,117
1714325545001671002,58
1714325545562800381,-21
1714325546123899242,94
1714325546685028621,23
1714325547246132573,134
1714325547807256865,54
1714325548368370987,166
1714325548929485105,82
1714325549490609401,9
1714325550051713345,87
1714325550612812210,79
1714325551173941589,-89
1714325551735040450,68
1714325552296169829,56
1714325552857268690,94
1714325553418398069,89
1714325553979527452,-61
1714325554540636487,-197
1714325555101755692,58
1714325555662885071,2
1714325556223983932,61
1714325556785113311,204
1714325557346217263,79
1714325557907341555,75
1714325558468455677,-49
1714325559029569795,-16
1714325559590699174,63
1714325560151828557,-32
1714325560712932505,68
1714325561274056797,-49
1714325561835186176,115
1714325562396305385,9
1714325562957414416,573
1714325563518543795,61
1714325564079673178,166
1714325564640772039,56
1714325565201901418,63
1714325565763030797,49
1714325566324129658,87
1714325566885259037,28
1714325567446393507,94
1714325568007517799,1298
1714325568568631921,42
1714325569129766387,214
1714325569690875418,65
1714325570252004797,-25
1714325570813134180,-9
1714325571374263559,18
1714325571935362420,-56
1714325572496491799,94
1714325573057621178,49
1714325573618750561,44
1714325574179854509,77
1714325574740978801,-23
1714325575302108180,1164
1714325575863237559,68
1714325576424336420,7
1714325576985465799,-49
1714325577546595182,28
1714325578107724561,-25
1714325578668823422,98
1714325579229952801,11
1714325579791082180,256
1714325580352211563,101
1714325580913315511,0
1714325581474439803,30
1714325582035569182,61
1714325582596688391,-49
1714325583157797422,49
1714325583718926801,51
1714325584280056184,-47
1714325584841155045,18
1714325585402284424,58
1714325585963383285,-30
1714325586524512664,63
1714325587085642043,21
1714325587646745995,112
1714325588207870287,1232
1714325588768999666,7
1714325589330129045,246
1714325589891253341,98
1714325590452357285,4
1714325591013486668,134
1714325591574595703,1095
1714325592135714908,-35
1714325592696834117,131
1714325593257943148,-4
1714325593819072527,11
1714325594380171392,14
1714325594941300771,1121
1714325595502430150,32
1714325596063559529,-28
1714325596624683825,-11
1714325597185787769,2
1714325597746917152,9
1714325598308026187,190
1714325598869145392,30
1714325599430264601,-7
1714325599991373632,-28
1714325600552503011,14
1714325601113606963,21
1714325601674731255,77
1714325602235860634,49
1714325602796959495,42
1714325603358088874,117
1714325603919218253,21
1714325604480322205,70
1714325605041446497,223
1714325605602575876,37
1714325606163705255,42
1714325606724829551,218
1714325607285933495,689
1714325607847062878,25
1714325608408192257,223
1714325608969321636,115
1714325609530440845,18
1714325610091549876,171
1714325610652679255,79
1714325611213808638,28
1714325611774938017,119
1714325612336052139,63
1714325612897166257,-103
1714325613458321071,63
1714325614019425015,35
1714325614580559485,25
1714325615141683777,58
1714325615702843676,30
1714325616263942535,49
1714325616825071914,28
1714325617386201293,11
1714325617947330676,4
1714325618508439711,-272
1714325619069558916,30
1714325619630688295,211
1714325620191812591,124
1714325620752916535,51
1714325621314045918,166
1714325621875175297,49
1714325622436289419,-35
1714325622997403537,72
1714325623558532916,122
1714325624119662295,-9
1714325624680791678,235
1714325625241890539,112
1714325625803019918,39
1714325626364139127,56
1714325626925248158,39
1714325627486377537,7
1714325628047506920,127
1714325628608615955,51
1714325629169735160,98
1714325629730864539,131
1714325630291963400,18
1714325630853092779,272
1714325631414191644,108
1714325631975300679,7
1714325632536419884,68
1714325633097518745,9
1714325633658648124,606
1714325634219746985,70
1714325634780850937,110
1714325635341975229,77
1714325635903089351,32
1714325636464203469,75
1714325637025332848,68
1714325637586431709,-42
1714325638147561092,-11
1714325638708690471,63
1714325639269804593,-42
1714325639830918711,84
1714325640392048090,54
1714325640953177469,18
1714325641514306852,7
1714325642075436231,-16
1714325642636535092,202
1714325643197664471,84
1714325643758793850,-25
1714325644319923233,47
1714325644881027181,63
1714325645442151473,-47
1714325646003280852,87
1714325646564379713,56
1714325647125509092,2
1714325647686638471,70
1714325648247767854,-21
1714325648808897233,54
1714325649370011355,65
1714325649931125473,-23
1714325650492254852,35
1714325651053384235,47
1714325651614488183,49
1714325652175612475,138
1714325652736741854,-75
1714325653297871233,108
1714325653858995529,68
1714325654420099473,-4
1714325654981228856,834
1714325655542358235,77
1714325656103472357,112
1714325656664586475,30
1714325657225715854,32
1714325657786845233,108
1714325658347974616,56
1714325658909083651,-61
1714325659470202856,105
1714325660031332235,61
1714325660592456531,105
1714325661153560475,98
1714325661714689858,23
1714325662275819237,1011
1714325662836933359,49
1714325663398047477,-82
1714325663959176856,70
1714325664520306235,47
1714325665081435618,37
1714325665642564997,-119
1714325666203679119,9
1714325666764793237,117
1714325667325922616,75
1714325667887051995,-11
1714325668448181378,-54
1714325669009310757,75
1714325669570440136,155
1714325670131559345,94
1714325670692668376,4
1714325671253797755,9
1714325671814927138,94
1714325672376056517,152
1714325672937185896,65
1714325673498305105,-16
1714325674059414136,-14
1714325674620543515,65
1714325675181672898,124
1714325675742802277,94
1714325676303931656,44
1714325676865050865,190
1714325677426159896,72
1714325677987289275,7
1714325678548418658,145
1714325679109548037,87
1714325679670677416,-23
1714325680231796625,131
1714325680792931091,58
1714325681354035035,0
1714325681915164418,98
1714325682476293797,14
1714325683037423176,14
1714325683598552555,65
1714325684159651416,75
1714325684720780795,-25
1714325685281910178,35
1714325685843019213,47
1714325686404153679,122
1714325686965267797,75
1714325687526397176,2
1714325688087526555,70
1714325688648655938,65
1714325689209764973,-47
1714325689770884178,1041
1714325690332013557,77
1714325690893142936,-82
1714325691454241797,543
1714325692015371180,39
1714325692576500559,185
1714325693137614681,816
1714325693698749147,23
1714325694259858178,-11
1714325694820987561,110
1714325695382086422,-11
1714325695943215801,119
1714325696504345180,56
1714325697065464389,155
1714325697626598855,108
1714325698187702799,44
1714325698748832182,-150
1714325699309961561,122
1714325699871060422,2
1714325700432189801,91
1714325700993319180,68
1714325701554448559,-47
1714325702115552511,117
1714325702676676803,286
1714325703237806182,63
1714325703798935561,49
1714325704360059857,21
1714325704921163801,23
1714325705482293184,101
1714325706043422563,-14
1714325706604536685,44
1714325707165671151,58
1714325707726780182,-65
1714325708287909561,91
1714325708849038944,32
1714325709410168323,185
1714325709971267184,68
1714325710532396563,-4
1714325711093525942,9
1714325711654655321,96
1714325712215759273,-75
1714325712776883565,9
1714325713338012944,32
1714325713899142323,124
1714325714460266619,122
1714325715021370563,37
1714325715582499946,242
1714325716143629325,98
1714325716704758704,-16
1714325717265888083,16
1714325717827012379,75
1714325718388146845,-35
1714325718949276224,84
1714325719510385259,56
1714325720071504464,-2
1714325720632633843,1098
1714325721193732704,44
1714325721754862083,-7
1714325722315991466,35
1714325722877120845,14
1714325723438234967,124
1714325723999369433,91
1714325724560478464,-65
1714325725121607843,903
1714325725682737226,70
1714325726243866605,51
1714325726804980727,98
1714325727366094845,-2
1714325727927224224,105
1714325728488353607,82
1714325729049482986,145
1714325729610581847,101
1714325730171711226,42
1714325730732830435,61
1714325731293939466,82
1714325731855068845,-7
1714325732416172797,1157
1714325732977297089,37
1714325733538411211,185
1714325734099525329,84
1714325734660654708,16
1714325735221784091,101
1714325735782882952,115
1714325736343991987,-23
1714325736905111192,98
1714325737466230401,39
1714325738027339432,4
1714325738588468811,54
1714325739149567676,56
1714325739710676711,98
1714325740271795916,359
1714325740832925295,11
1714325741394049591,-4
1714325741955153535,94
1714325742516282918,65
1714325743077391953,216
1714325743638511158,23
1714325744199630367,18
1714325744760739398,49
1714325745321838259,143
1714325745882967642,39
1714325746444066503,58
1714325747005195882,68
1714325747566294743,-9
1714325748127424122,886
1714325748688522983,65
1714325749249652366,-49
1714325749810781745,-44
1714325750371880606,82
1714325750933009985,-70
1714325751494134281,84
1714325752055238225,18
1714325752616367608,103
1714325753177496987,87
1714325753738595848,-32
1714325754299725227,98
1714325754860854606,65
1714325755421953467,-21
1714325755983082850,54
1714325756544212229,72
1714325757105341608,68
1714325757666440469,79
1714325758227569848,-14
1714325758788668709,-2
1714325759349798092,70
1714325759910927471,148
1714325760472056851,136
1714325761033155711,39
